data,hora,rodovia,km,municipio,tipo,gravidade,latitude,longitude
2019-01-01,03:30:00,304.0,288,MACAIBA,Colisão frontal,Com Vítimas Fatais,-5.889564,-35.489544
2019-01-01,03:30:00,304.0,288,MACAIBA,Colisão frontal,Com Vítimas Fatais,-5.889564,-35.489544
2019-01-02,08:50:00,304.0,25,MOSSORO,Colisão lateral,Com Vítimas Feridas,-5.064882,-37.33287
2019-01-02,08:50:00,304.0,25,MOSSORO,Colisão lateral,Com Vítimas Feridas,-5.064882,-37.33287
2019-01-02,08:50:00,304.0,25,MOSSORO,Colisão lateral,Com Vítimas Feridas,-5.064882,-37.33287
2019-01-02,14:10:00,304.0,294,MACAIBA,Colisão traseira,Sem Vítimas,-5.864849,-35.349312
2019-01-02,14:10:00,304.0,294,MACAIBA,Colisão traseira,Sem Vítimas,-5.864849,-35.349312
2019-01-02,22:50:00,101.0,83,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.771044,-35.266171
2019-01-02,22:50:00,101.0,83,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.771044,-35.266171
2019-01-03,14:40:00,101.0,110,PARNAMIRIM,Colisão transversal,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-03,14:40:00,101.0,110,PARNAMIRIM,Colisão transversal,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-04,10:20:00,304.0,193,LAJES,Colisão transversal,Com Vítimas Feridas,-5.705923,-36.233528
2019-01-04,10:20:00,304.0,193,LAJES,Colisão transversal,Com Vítimas Feridas,-5.705923,-36.233528
2019-01-05,09:00:00,101.0,102,PARNAMIRIM,Colisão transversal,Com Vítimas Feridas,-5.88861,-35.24033
2019-01-05,09:00:00,101.0,102,PARNAMIRIM,Colisão transversal,Com Vítimas Feridas,-5.88861,-35.24033
2019-01-05,09:00:00,101.0,102,PARNAMIRIM,Colisão transversal,Com Vítimas Feridas,-5.88861,-35.24033
2019-01-06,17:45:00,101.0,84,SAO GONCALO DO AMARANTE,Queda de ocupante de veículo,Com Vítimas Feridas,-5.774175,-35.257801
2019-01-06,17:45:00,101.0,84,SAO GONCALO DO AMARANTE,Queda de ocupante de veículo,Com Vítimas Feridas,-5.774175,-35.257801
2019-01-06,17:45:00,101.0,84,SAO GONCALO DO AMARANTE,Queda de ocupante de veículo,Com Vítimas Feridas,-5.774175,-35.257801
2019-01-06,17:45:00,101.0,84,SAO GONCALO DO AMARANTE,Colisão traseira,Com Vítimas Feridas,-5.774175,-35.257801
2019-01-06,17:45:00,101.0,84,SAO GONCALO DO AMARANTE,Colisão traseira,Com Vítimas Feridas,-5.774175,-35.257801
2019-01-06,17:45:00,101.0,84,SAO GONCALO DO AMARANTE,Colisão traseira,Com Vítimas Feridas,-5.774175,-35.257801
2019-01-07,09:00:00,101.0,97,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-07,09:00:00,101.0,97,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.857612,-35.212723
2019-01-11,19:00:00,110.0,1,AREIA BRANCA,Queda de ocupante de veículo,Com Vítimas Feridas,-4.95345832,-37.12881088
2019-01-11,19:00:00,110.0,1,AREIA BRANCA,Queda de ocupante de veículo,Com Vítimas Feridas,-4.95345832,-37.12881088
2019-01-11,19:00:00,110.0,1,AREIA BRANCA,Queda de ocupante de veículo,Com Vítimas Feridas,-4.95345832,-37.12881088
2019-01-11,19:00:00,110.0,1,AREIA BRANCA,Colisão lateral,Com Vítimas Feridas,-4.95345832,-37.12881088
2019-01-11,19:00:00,110.0,1,AREIA BRANCA,Colisão lateral,Com Vítimas Feridas,-4.95345832,-37.12881088
2019-01-11,19:00:00,110.0,1,AREIA BRANCA,Colisão lateral,Com Vítimas Feridas,-4.95345832,-37.12881088
2019-01-11,19:04:00,405.0,76,APODI,Colisão transversal,Com Vítimas Feridas,-5.652425,-37.799461
2019-01-11,19:04:00,405.0,76,APODI,Colisão transversal,Com Vítimas Feridas,-5.652425,-37.799461
2019-01-12,09:00:00,101.0,84,NATAL,Colisão traseira,Com Vítimas Feridas,-5.774175,-35.257801
2019-01-12,09:00:00,101.0,84,NATAL,Colisão traseira,Com Vítimas Feridas,-5.774175,-35.257801
2019-01-12,14:50:00,101.0,58,CEARA-MIRIM,Colisão transversal,Com Vítimas Feridas,-5.587615,-35.276676
2019-01-12,14:50:00,101.0,58,CEARA-MIRIM,Colisão transversal,Com Vítimas Feridas,-5.587615,-35.276676
2019-01-12,14:50:00,101.0,58,CEARA-MIRIM,Colisão transversal,Com Vítimas Feridas,-5.587615,-35.276676
2019-01-13,18:30:00,427.0,95,CAICO,Atropelamento de Animal,Com Vítimas Feridas,-6.477626,-37.070442
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Capotamento,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Capotamento,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Capotamento,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Capotamento,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Capotamento,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Capotamento,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Colisão lateral,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Colisão lateral,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Colisão lateral,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Colisão lateral,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Colisão lateral,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Colisão lateral,Com Vítimas Feridas,-5.946376,-35.264851
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
